id_coordenada;id_partida;id_usuario;objeto_colisionador;objeto_colisionado;x;y;fecha_hora
1;1;1;blanco;azul;433;108;2025-10-08 09:06:04
2;1;1;blanco;violeta;95;390;2025-10-08 09:06:05
3;1;1;rojo;violeta;148;200;2025-10-08 09:06:06
4;1;1;rojo;verde;168;305;2025-10-08 09:06:08
5;1;1;blanco;azul;744;3;2025-10-08 09:06:08
6;1;1;rojo;amarillo;539;90;2025-10-08 09:06:09
7;1;1;blanco;verde;282;177;2025-10-08 09:06:11
8;1;1;rojo;azul;133;477;2025-10-08 09:06:12
9;1;1;blanco;amarillo;531;139;2025-10-08 09:06:12
10;1;1;blanco;verde;619;178;2025-10-08 09:06:12
11;1;1;blanco;verde;656;264;2025-10-08 09:06:13
12;1;1;blanco;amarillo;201;124;2025-10-08 09:06:16
13;1;1;blanco;verde;90;419;2025-10-08 09:06:21
14;1;1;blanco;azul;256;174;2025-10-08 09:06:27
15;1;1;blanco;azul;349;64;2025-10-08 09:06:27
16;2;2;blanco;azul;219;395;2025-10-08 09:16:57
17;2;2;blanco;verde;631;204;2025-10-08 09:17:21
18;2;2;blanco;amarillo;34;440;2025-10-08 09:17:24
19;3;3;blanco;azul;711;28;2025-10-08 15:00:21
20;3;3;rojo;verde;508;342;2025-10-08 15:00:29
21;3;3;rojo;violeta;179;519;2025-10-08 15:00:30
22;3;3;rojo;verde;593;541;2025-10-08 15:00:31
23;3;3;blanco;amarillo;600;309;2025-10-08 15:00:31
24;3;3;blanco;azul;543;308;2025-10-08 15:00:32
25;3;3;blanco;azul;409;149;2025-10-08 15:00:32
26;3;3;rojo;amarillo;753;201;2025-10-08 15:00:32
27;3;3;blanco;violeta;139;392;2025-10-08 15:00:34
28;3;3;rojo;violeta;263;507;2025-10-08 15:00:34
29;3;3;rojo;amarillo;524;560;2025-10-08 15:00:34
30;3;3;rojo;verde;521;142;2025-10-08 15:00:36
31;3;3;blanco;verde;561;85;2025-10-08 15:00:37
32;3;3;blanco;azul;235;381;2025-10-08 15:00:38
33;3;3;rojo;violeta;557;388;2025-10-08 15:00:38
34;3;3;blanco;verde;85;366;2025-10-08 15:00:39
35;3;3;rojo;violeta;54;284;2025-10-08 15:00:40
36;3;3;rojo;amarillo;72;342;2025-10-08 15:00:41
37;3;3;rojo;violeta;71;347;2025-10-08 15:00:41
38;3;3;rojo;verde;352;393;2025-10-08 15:00:43
39;3;3;blanco;verde;68;53;2025-10-08 15:00:44
40;3;3;blanco;amarillo;163;106;2025-10-08 15:00:48
41;3;3;rojo;violeta;457;252;2025-10-08 15:00:49
42;3;3;rojo;amarillo;442;278;2025-10-08 15:00:49
43;4;1;blanco;violeta;104;380;2025-10-12 13:58:37
44;4;1;blanco;violeta;445;113;2025-10-12 13:58:44
45;4;1;blanco;verde;579;489;2025-10-12 13:58:45
46;4;1;blanco;violeta;561;467;2025-10-12 13:58:45
47;4;1;rojo;violeta;462;164;2025-10-12 13:58:50
48;4;1;rojo;violeta;367;176;2025-10-12 13:58:50
49;4;1;rojo;azul;436;483;2025-10-12 13:58:51
50;4;1;blanco;azul;295;214;2025-10-12 13:58:51
51;4;1;rojo;violeta;688;260;2025-10-12 13:58:52
52;4;1;blanco;verde;80;497;2025-10-12 13:58:53
53;4;1;blanco;verde;169;394;2025-10-12 13:58:53
54;4;1;rojo;violeta;117;256;2025-10-12 13:58:54
55;4;1;blanco;verde;63;140;2025-10-12 13:58:58
56;4;1;blanco;amarillo;103;99;2025-10-12 13:58:58
57;4;1;blanco;violeta;488;46;2025-10-12 13:59:06
58;5;1;blanco;verde;156;41;2025-10-12 14:02:26
59;5;1;rojo;violeta;235;289;2025-10-12 14:02:30
60;6;1;blanco;verde;542;222;2025-10-12 14:03:57
61;6;1;rojo;amarillo;368;455;2025-10-12 14:03:58
62;6;1;rojo;violeta;414;65;2025-10-12 14:04:00
63;6;1;rojo;violeta;624;485;2025-10-12 14:04:02
64;6;1;rojo;violeta;597;451;2025-10-12 14:04:02
65;6;1;blanco;violeta;343;250;2025-10-12 14:04:05
66;6;1;blanco;violeta;385;457;2025-10-12 14:04:07
67;6;1;blanco;violeta;49;446;2025-10-12 14:04:11
68;6;1;blanco;violeta;643;87;2025-10-12 14:04:13
69;6;1;blanco;verde;188;43;2025-10-12 14:04:17
70;6;1;blanco;verde;252;165;2025-10-12 14:04:21
71;7;1;blanco;verde;283;46;2025-10-12 15:44:34
72;8;1;rojo;verde;521;550;2025-10-12 15:46:08
73;8;1;blanco;amarillo;572;481;2025-10-12 15:46:10
74;8;1;blanco;amarillo;278;283;2025-10-12 15:46:11
75;8;1;rojo;verde;254;132;2025-10-12 15:46:11
76;8;1;blanco;azul;648;491;2025-10-12 15:46:14
77;8;1;blanco;amarillo;369;64;2025-10-12 15:46:16
78;8;1;rojo;verde;613;59;2025-10-12 15:46:17
79;8;1;blanco;verde;209;510;2025-10-12 15:46:18
80;8;1;blanco;violeta;51;187;2025-10-12 15:46:22
81;8;1;rojo;amarillo;433;101;2025-10-12 15:46:23
82;8;1;rojo;verde;744;176;2025-10-12 15:46:24
83;8;1;rojo;azul;763;261;2025-10-12 15:46:24
84;8;1;rojo;verde;360;147;2025-10-12 15:46:25
85;8;1;blanco;amarillo;476;375;2025-10-12 15:46:26
86;8;1;rojo;violeta;584;433;2025-10-12 15:46:28
87;8;1;blanco;violeta;703;234;2025-10-12 15:46:30
88;8;1;blanco;violeta;506;48;2025-10-12 15:46:31
89;8;1;blanco;violeta;221;209;2025-10-12 15:46:32
90;9;4;blanco;violeta;723;195;2025-10-12 15:48:59
91;9;4;rojo;verde;56;394;2025-10-12 15:48:59
92;9;4;blanco;violeta;669;140;2025-10-12 15:48:59
93;9;4;blanco;azul;609;106;2025-10-12 15:49:00
94;9;4;blanco;amarillo;365;174;2025-10-12 15:49:00
95;9;4;rojo;violeta;605;471;2025-10-12 15:49:02
96;9;4;rojo;violeta;743;476;2025-10-12 15:49:04
97;9;4;rojo;violeta;453;479;2025-10-12 15:49:04
98;9;4;blanco;azul;300;527;2025-10-12 15:49:06
99;9;4;rojo;violeta;349;309;2025-10-12 15:49:06
100;9;4;rojo;violeta;440;552;2025-10-12 15:49:07
101;9;4;blanco;verde;180;30;2025-10-12 15:49:07
102;9;4;rojo;violeta;549;18;2025-10-12 15:49:09
103;9;4;rojo;amarillo;700;139;2025-10-12 15:49:10
104;9;4;rojo;violeta;80;507;2025-10-12 15:49:14
105;9;4;rojo;verde;154;381;2025-10-12 15:49:15
106;9;4;rojo;azul;112;474;2025-10-12 15:49:16
107;9;4;blanco;violeta;224;279;2025-10-12 15:49:16
108;9;4;rojo;amarillo;206;407;2025-10-12 15:49:17
109;9;4;rojo;verde;257;61;2025-10-12 15:49:18
110;9;4;blanco;azul;293;335;2025-10-12 15:49:18
111;9;4;rojo;amarillo;491;78;2025-10-12 15:49:18
112;9;4;rojo;azul;737;249;2025-10-12 15:49:19
113;9;4;rojo;azul;482;247;2025-10-12 15:49:22
114;9;4;rojo;verde;247;143;2025-10-12 15:49:23
115;9;4;blanco;verde;566;369;2025-10-12 15:49:24
116;9;4;blanco;violeta;734;486;2025-10-12 15:49:25
117;10;5;rojo;amarillo;45;86;2025-10-12 16:04:47
118;10;5;blanco;amarillo;424;504;2025-10-12 16:04:47
119;10;5;blanco;violeta;272;125;2025-10-12 16:04:49
120;10;5;blanco;violeta;543;375;2025-10-12 16:04:50
121;10;5;rojo;verde;429;113;2025-10-12 16:04:51
122;10;5;rojo;violeta;102;221;2025-10-12 16:04:55
123;10;5;rojo;verde;275;172;2025-10-12 16:04:58
124;10;5;blanco;azul;116;571;2025-10-12 16:04:58
125;10;5;rojo;verde;406;328;2025-10-12 16:05:00
126;10;5;rojo;azul;355;326;2025-10-12 16:05:00
127;10;5;blanco;violeta;563;491;2025-10-12 16:05:02
128;10;5;rojo;verde;160;352;2025-10-12 16:05:04
129;10;5;rojo;verde;372;63;2025-10-12 16:05:07
130;11;1;rojo;violeta;55;161;2025-10-12 16:05:33
131;11;1;rojo;violeta;204;520;2025-10-12 16:05:34
132;11;1;rojo;verde;396;372;2025-10-12 16:05:35
133;11;1;rojo;verde;441;64;2025-10-12 16:05:36
134;11;1;rojo;amarillo;621;332;2025-10-12 16:05:39
135;11;1;rojo;amarillo;530;219;2025-10-12 16:05:40
136;11;1;blanco;verde;558;506;2025-10-12 16:05:40
137;11;1;rojo;violeta;197;342;2025-10-12 16:05:41
138;11;1;blanco;azul;247;65;2025-10-12 16:05:42
139;11;1;blanco;amarillo;38;268;2025-10-12 16:05:43
140;11;1;blanco;verde;341;447;2025-10-12 16:05:44
141;11;1;blanco;azul;318;468;2025-10-12 16:05:44
142;11;1;rojo;verde;447;71;2025-10-12 16:05:45
143;11;1;rojo;amarillo;462;158;2025-10-12 16:05:45
144;11;1;blanco;verde;704;33;2025-10-12 16:05:46
145;11;1;rojo;azul;546;84;2025-10-12 16:05:46
146;11;1;rojo;verde;417;25;2025-10-12 16:05:48
147;11;1;blanco;violeta;2;452;2025-10-12 16:05:48
148;11;1;rojo;azul;389;236;2025-10-12 16:05:48
149;11;1;rojo;amarillo;369;566;2025-10-12 16:05:50
150;11;1;rojo;violeta;210;474;2025-10-12 16:05:51
151;11;1;rojo;verde;126;426;2025-10-12 16:05:51
152;11;1;rojo;azul;407;175;2025-10-12 16:05:54
153;11;1;rojo;verde;532;104;2025-10-12 16:05:55
154;12;1;blanco;violeta;105;382;2025-10-12 16:06:14
155;12;1;rojo;amarillo;76;328;2025-10-12 16:06:16
